winner,loser,gap_pp,disc_items,disc_frac,win_rate
char36-LR,char25-SVC-bal,0.01960784313724817,1020,0.1,0.51475
char25-SVC,char25-LR,0.4411764705882337,415,0.04068627450980392,0.98725
char25-LR,char36-LR,0.5000000000000004,367,0.035980392156862745,0.99575
char25-LR,char25-SVC-bal,0.5196078431372486,907,0.08892156862745099,0.961
word-SVC,word-LR,0.666666666666671,374,0.03666666666666667,1.0
word-RF,word-SVC,0.7058823529411673,1510,0.1480392156862745,0.96725
char25-SVC-bal,char14-SGD,0.7450980392156858,1126,0.1103921568627451,0.98725
char36-LR,char14-SGD,0.764705882352934,884,0.08666666666666667,0.9935
char25-SVC,char36-LR,0.9411764705882342,520,0.050980392156862744,1.0
char25-SVC,char25-SVC-bal,0.9607843137254823,980,0.09607843137254903,0.99925
char25-LR,char14-SGD,1.2647058823529345,757,0.0742156862745098,1.0
word-RF,word-LR,1.3725490196078383,1686,0.1652941176470588,0.99975
char25-SVC,char14-SGD,1.7058823529411682,712,0.06980392156862746,1.0
word-NB,word-LR-bal,2.352941176470591,2094,0.20529411764705882,1.0
char14-SGD,word-RF,6.166666666666676,2655,0.26029411764705884,1.0
word-LR,word-NB,6.323529411764706,2157,0.2114705882352941,1.0
char14-SGD,word-SVC,6.872549019607844,2701,0.2648039215686275,1.0
char25-SVC-bal,word-RF,6.911764705882362,3085,0.30245098039215684,1.0
char36-LR,word-RF,6.93137254901961,2515,0.2465686274509804,1.0
word-SVC,word-NB,6.990196078431376,2157,0.2114705882352941,1.0
char25-LR,word-RF,7.43137254901961,2550,0.25,1.0
char14-SGD,word-LR,7.539215686274514,2801,0.2746078431372549,1.0
char25-SVC-bal,word-SVC,7.617647058823529,2949,0.28911764705882353,1.0
char36-LR,word-SVC,7.637254901960777,2599,0.25480392156862747,1.0
word-RF,word-NB,7.696078431372544,3157,0.3095098039215686,1.0
char25-SVC,word-RF,7.872549019607844,2393,0.2346078431372549,1.0
char25-LR,word-SVC,8.137254901960777,2598,0.25470588235294117,1.0
char25-SVC-bal,word-LR,8.2843137254902,3017,0.2957843137254902,1.0
char36-LR,word-LR,8.303921568627448,2679,0.2626470588235294,1.0
char25-SVC,word-SVC,8.578431372549012,2499,0.245,1.0
word-LR,word-LR-bal,8.676470588235297,2421,0.2373529411764706,1.0
char25-LR,word-LR,8.803921568627448,2664,0.2611764705882353,1.0
char25-SVC,word-LR,9.245098039215682,2619,0.25676470588235295,1.0
word-SVC,word-LR-bal,9.343137254901968,2585,0.2534313725490196,1.0
word-RF,word-LR-bal,10.049019607843135,3697,0.36245098039215684,1.0
char14-SGD,word-NB,13.86274509803922,3512,0.34431372549019607,1.0
char25-SVC-bal,word-NB,14.607843137254905,3468,0.34,1.0
char36-LR,word-NB,14.627450980392155,3410,0.33431372549019606,1.0
char25-LR,word-NB,15.127450980392155,3409,0.3342156862745098,1.0
char25-SVC,word-NB,15.568627450980388,3406,0.333921568627451,1.0
char14-SGD,word-LR-bal,16.21568627450981,3664,0.3592156862745098,1.0
char25-SVC-bal,word-LR-bal,16.960784313725497,3508,0.343921568627451,1.0
char36-LR,word-LR-bal,16.980392156862745,3618,0.3547058823529412,1.0
char25-LR,word-LR-bal,17.480392156862745,3595,0.3524509803921569,1.0
char25-SVC,word-LR-bal,17.92156862745098,3658,0.35862745098039217,1.0
