system,micro,macro,sexism_f1,micro_rank,macro_rank
char25-SVC,0.6776470588235294,0.47241569808850503,0.06060606060606061,1,2
char25-LR,0.673235294117647,0.4616248444760896,0.0,2,3
char36-LR,0.668235294117647,0.45471580553209906,0.0,3,4
char25-SVC-bal,0.6680392156862746,0.5018618884220735,0.11538461538461539,4,1
char14-SGD,0.6605882352941177,0.4499082790993321,0.0,5,5
word-RF,0.5989215686274509,0.23180979694756776,0.0,6,10
word-SVC,0.5918627450980393,0.32292218441792886,0.0625,7,8
word-LR,0.5851960784313726,0.3086803308468113,0.0,8,9
word-NB,0.5219607843137255,0.32500971490963576,0.03773584905660377,9,7
word-LR-bal,0.4984313725490196,0.34080436441987305,0.06666666666666667,10,6
