a,b,disagree,b_cell,c_cell,mcnemar_disc,acc_gap,p,sig,gap_pp
char25-SVC-bal,char36-LR,0.12549019607843137,509,511,1020,0.0001960784313724817,0.9750233877951403,False,0.01960784313724817
char25-LR,char25-SVC,0.05235294117647059,185,230,415,0.004411764705882337,0.030659038649141726,True,0.4411764705882337
char25-LR,char36-LR,0.04392156862745098,209,158,367,0.0050000000000000044,0.008963442126616266,True,0.5000000000000004
char25-LR,char25-SVC-bal,0.11323529411764706,480,427,907,0.005196078431372486,0.08417733470923514,False,0.5196078431372486
word-LR,word-SVC,0.04911764705882353,153,221,374,0.00666666666666671,0.0005145211817559437,True,0.666666666666671
word-SVC,word-RF,0.19950980392156864,719,791,1510,0.007058823529411673,0.0676445011646179,False,0.7058823529411673
char25-SVC-bal,char14-SGD,0.13784313725490197,601,525,1126,0.0074509803921568585,0.025369024301482242,True,0.7450980392156858
char36-LR,char14-SGD,0.10764705882352942,481,403,884,0.00764705882352934,0.009564545295517594,True,0.764705882352934
char25-SVC,char36-LR,0.06392156862745098,308,212,520,0.009411764705882342,2.9527641139856074e-05,True,0.9411764705882342
char25-SVC,char25-SVC-bal,0.12186274509803921,539,441,980,0.009607843137254823,0.0019298198693101795,True,0.9607843137254823
char25-LR,char14-SGD,0.09245098039215686,443,314,757,0.012647058823529345,3.1175076201585306e-06,True,1.2647058823529345
word-LR,word-RF,0.21901960784313726,773,913,1686,0.013725490196078383,0.0007066975776607936,True,1.3725490196078383
char25-SVC,char14-SGD,0.08529411764705883,443,269,712,0.017058823529411682,7.255829216633818e-11,True,1.7058823529411682
word-LR-bal,word-NB,0.2985294117647059,927,1167,2094,0.02352941176470591,1.710183957090255e-07,True,2.352941176470591
char14-SGD,word-RF,0.331078431372549,1642,1013,2655,0.06166666666666676,1.7764982674376815e-34,True,6.166666666666676
word-LR,word-NB,0.28705882352941176,1401,756,2157,0.06323529411764706,2.3035986992589033e-44,True,6.323529411764706
word-SVC,char14-SGD,0.3323529411764706,1000,1701,2701,0.06872549019607843,8.382930855927921e-42,True,6.872549019607844
char25-SVC-bal,word-RF,0.38519607843137255,1895,1190,3085,0.06911764705882362,3.996112038303075e-37,True,6.911764705882362
char36-LR,word-RF,0.31901960784313727,1611,904,2515,0.0693137254901961,1.3554454439660161e-45,True,6.93137254901961
word-SVC,word-NB,0.28509803921568627,1435,722,2157,0.06990196078431377,5.133128342775357e-54,True,6.990196078431376
char25-LR,word-RF,0.3212745098039216,1654,896,2550,0.0743137254901961,1.5224273075164453e-51,True,7.43137254901961
word-LR,char14-SGD,0.3433333333333333,1016,1785,2801,0.07539215686274514,2.6381207447074725e-48,True,7.539215686274514
word-SVC,char25-SVC-bal,0.36245098039215684,1086,1863,2949,0.07617647058823529,7.545235469185272e-47,True,7.617647058823529
word-SVC,char36-LR,0.31950980392156864,910,1689,2599,0.07637254901960777,2.2971064852992315e-53,True,7.637254901960777
word-NB,word-RF,0.41970588235294115,1186,1971,3157,0.07696078431372544,1.0757282105878662e-44,True,7.696078431372544
char25-SVC,word-RF,0.3008823529411765,1598,795,2393,0.07872549019607844,1.4953113012309376e-61,True,7.872549019607844
word-SVC,char25-LR,0.3185294117647059,884,1714,2598,0.08137254901960778,1.702315165285283e-60,True,8.137254901960777
word-LR,char25-SVC-bal,0.3692156862745098,1086,1931,3017,0.082843137254902,5.661786710541991e-54,True,8.2843137254902
word-LR,char36-LR,0.32823529411764707,916,1763,2679,0.08303921568627448,4.6723739283796764e-61,True,8.303921568627448
word-SVC,char25-SVC,0.307156862745098,812,1687,2499,0.08578431372549011,7.209492005046221e-70,True,8.578431372549012
word-LR,word-LR-bal,0.31892156862745097,1653,768,2421,0.08676470588235297,8.088593052516366e-74,True,8.676470588235297
word-LR,char25-LR,0.3253921568627451,883,1781,2664,0.08803921568627449,5.974547498126571e-69,True,8.803921568627448
word-LR,char25-SVC,0.3199019607843137,838,1781,2619,0.09245098039215682,2.4418994344423813e-77,True,9.245098039215682
word-LR-bal,word-SVC,0.3402941176470588,816,1769,2585,0.09343137254901968,4.726517778164707e-80,True,9.343137254901968
word-LR-bal,word-RF,0.48480392156862745,1336,2361,3697,0.10049019607843135,1.871241558568905e-64,True,10.049019607843135
word-NB,char14-SGD,0.4323529411764706,1049,2463,3512,0.1386274509803922,3.2275358057491234e-129,True,13.86274509803922
word-NB,char25-SVC-bal,0.4281372549019608,989,2479,3468,0.14607843137254906,1.1468857450558776e-145,True,14.607843137254905
word-NB,char36-LR,0.41990196078431374,959,2451,3410,0.14627450980392154,1.080297168837e-148,True,14.627450980392155
word-NB,char25-LR,0.41843137254901963,933,2476,3409,0.15127450980392154,2.395924546058246e-159,True,15.127450980392155
word-NB,char25-SVC,0.41784313725490196,909,2497,3406,0.15568627450980388,3.271180024125009e-169,True,15.568627450980388
word-LR-bal,char14-SGD,0.45529411764705885,1005,2659,3664,0.1621568627450981,3.406193801278821e-170,True,16.21568627450981
word-LR-bal,char25-SVC-bal,0.4376470588235294,889,2619,3508,0.16960784313725497,1.1376316606150406e-195,True,16.960784313725497
word-LR-bal,char36-LR,0.4455882352941177,943,2675,3618,0.16980392156862745,1.0612033030719724e-189,True,16.980392156862745
word-LR-bal,char25-LR,0.44245098039215686,906,2689,3595,0.17480392156862745,7.43801734860152e-203,True,17.480392156862745
word-LR-bal,char25-SVC,0.44735294117647056,915,2743,3658,0.1792156862745098,1.2126944776121383e-209,True,17.92156862745098
